file,410pred,410err,410amp,410qual,660pred,660err,660amp,660qual
n15_297.35,-157.212551647,0.0699138666175,954.6180391889999,0.9075,-229.76740730000003,0.16665537555999999,986.10328214,0.9425
n15_31.30,-156.551787996,0.0678859867545,205.728168882,0.63,-226.156742269,0.173322446579,323.978907493,0.9125
n15_313.00,-157.14947968299998,0.149661431108,1816.80858677,1.01,-228.73094671400003,0.155719053867,1870.91133043,0.9325
n15_328.65,-156.59916099,0.11354708424799999,1516.14379077,0.9875,-228.03462163900002,0.198759505528,1426.42515397,0.9575
n15_344.30,-156.503741981,0.0954429762719,576.297632002,0.895,-227.671543491,0.137868951767,492.735480747,0.875
n15_46.95,-155.800575358,0.10315095485200002,388.234456625,0.67,-227.019722319,0.109140045116,525.658642554,0.8825
n15_62.60,-156.414527349,0.05573583513830001,576.150306375,0.66,-227.62275595900002,0.10972149002499999,740.40838005,0.85
n15_78.25,-156.030259342,0.053011003361,508.864784444,0.645,-227.413280956,0.155440675677,575.4216353830001,0.925
n15_93.90,-155.737251746,0.050952484866899996,393.73236723900004,0.675,-226.766816667,0.0817866190008,361.829413139,0.88
n30_0,-157.348493091,0.0992112497349,115.344552165,0.77,-227.625495604,0.11867700722999999,117.34238971799999,0.8325
n30_102.84,-156.512152568,0.126173944643,363.175613864,0.79,-227.36238786599998,0.110292025769,391.69866386900003,0.8825
n30_119.98,-155.999822325,0.0511827345675,184.67067017099998,0.6575,-227.997063783,0.146519666896,190.10551048099998,0.8525
n30_137.12,-155.931101588,0.11407092382999999,136.2093063,0.885,-226.880335073,0.115652001453,123.34665115899999,0.8675
n30_154.26,-156.988541336,0.0939943218603,242.89101385200001,0.88,-227.661163307,0.144579310711,196.30479926400002,0.9
n30_17.14,-154.808647772,0.166038224871,129.875823765,0.9125,-227.05069101400002,0.158069152543,174.48875573900003,0.9075
n30_171.40,-156.887189631,0.11015693730699999,206.505605295,0.65,-229.822969392,0.178843334999,228.37905355599997,0.8775
n30_188.54,-158.37052179399998,0.198272771618,403.049947655,0.795,-228.474629267,0.171756549694,468.305210081,0.895
n30_205.68,-158.437193915,0.152677239233,935.8685901819999,0.9725,-227.661137212,0.118228886536,1010.10945083,0.8825
n30_222.82,-157.673544772,0.146997033796,1138.24627751,0.78,-227.551961345,0.151909862165,1407.53145713,0.9575
n30_239.96,-158.035792833,0.111836720764,401.424055641,0.7875,-227.488874255,0.17503860305799998,488.89338787199995,0.95
n30_257.10,-158.615733701,0.0874568466062,81.1954699598,0.565,-228.227853738,0.18513791041900002,108.808297183,0.905
n30_274.24,-155.192001251,0.0908110355896,479.38143860699995,0.785,-228.146128922,0.18747188391300001,483.152537086,0.8475
n30_291.38,-156.60322162399999,0.13222269105,206.92709529599998,0.96,-229.69318856599998,0.148102715943,159.197132996,0.945
n30_308.52,-156.040794708,0.038626133865,288.993512148,0.6475,-228.438063569,0.149773563965,320.755951254,0.9375
n30_325.66,-156.406945475,0.141824746023,406.472297019,0.9525,-228.107663815,0.163143789034,396.589176281,0.9325
n30_34.28,-156.28641268200002,0.179870841528,272.153187351,0.9,-227.238318725,0.13562013422,333.08080094,0.905
n30_342.80,-157.018904252,0.140147708013,300.740950564,0.9,-228.731447223,0.17315207458,269.809314512,0.935
n30_51.42,-156.289023935,0.136606928103,406.905033983,0.9675,-226.82294880799998,0.18618066883,496.85356825,0.92
n30_68.56,-156.349811511,0.159051727346,373.04016338400004,0.77,-227.74245924299998,0.20513796872099999,466.500323471,0.9325
n30_85.70,-156.379172498,0.0361649391994,395.211368204,0.66,-227.215223173,0.11436906440899999,418.848360913,0.9175
n45_0,-158.287399083,0.146009601244,116.93075088399999,0.9125,-227.071476485,0.174001854324,132.956126526,0.8675
n45_105.85,-156.301514569,0.0421688230409,324.906294467,0.655,-227.65243032599997,0.151421400736,344.540637124,0.9325
n45_127.02,-155.440112869,0.169001007785,173.765611933,0.865,-228.02076894400003,0.144748959169,141.685928192,0.9075
n45_148.19,-155.680733914,0.0689960307909,78.8293752245,0.6575,-228.56910469999997,0.123592074627,94.1100772278,0.8375
n45_169.36,-156.2491142,0.169722200024,115.77354475799999,0.73,-228.536356387,0.13080045541,125.988858272,0.895
n45_190.53,-158.777944315,0.253526612376,317.594068162,0.8575,-228.114643789,0.133319339789,343.340352724,0.8825
n45_21.17,-156.647530914,0.07062057285939999,122.745690217,0.655,-226.89458232299998,0.156573904302,166.14523372899998,0.83
n45_211.70,-158.126260493,0.051048589555900005,711.551506825,0.64,-227.674566077,0.144119166332,730.646369786,0.915
n45_232.87,-157.674965431,0.0427060158148,495.824568284,0.6175,-227.354930319,0.250508221508,501.903630257,0.9475
n45_254.04,-159.32753192299998,0.12691420771,164.40625236399998,0.9075,-227.70362861099997,0.125930381438,205.60117747900003,0.92
n45_275.21,-159.198165951,0.147202111357,124.615141114,0.865,-227.463807753,0.15177092521,131.300855356,0.9025
