file,410time,410error,410quality,660time,660error,660quality
19991210A.chile.CSS.BHT,-151.32635137908326,0.16782396028416005,0.685,-236.31998190751045,0.13877014469191604,0.6375
19991210A.chile.DAG.BHT,-152.25205200045968,0.19611213819686585,0.75,-222.4550780411244,0.1006499628632517,0.9425
19991210A.chile.SSE.BHT,-163.13233852338482,0.11329113723883227,0.9375,-235.90976028281787,0.06300495972679655,0.6225
19991224A.macquarie.TX01.BHT,-165.80764773883405,0.14949950295836292,0.7325,-231.15399084509414,0.3316487532142126,0.86
19991228A.panama.KHA.BHT,-155.1337955457593,0.1635292883332108,0.7525,-227.4756333595806,0.16754897675207456,0.9025
20000108A.solomon.BGCA.BHT,-161.39724442400558,0.1448284797959165,0.7825,-231.0633937288897,0.09269225295183443,0.685
20000607A.myanmar.NM26.BHT,-151.08919731682204,0.2391345825793671,0.625,-220.83629881090744,0.09716866543839588,0.68
20000607A.sumatera.MB01.BHT,-156.5224025570584,0.1149271922056104,0.6125,-234.42492868905774,0.10757999865385497,0.655
20000611A.india.ISCO.BHT,-154.18123987360013,0.22769719792475845,0.62,-230.32483385886246,0.24275247268241626,0.8925
20000611A.india.NM08.BHT,-160.2461409076319,0.11847981433370836,0.9075,-227.70804179579585,0.3237810721487973,0.95
20000611A.india.NM10.BHT,-160.10292037913118,0.1366455596936795,0.8125,-229.97882745012387,0.13568701331404154,0.9175
20000611A.india.NM12.BHT,-159.81005058481566,0.14569495660605364,0.6475,-230.84877792815703,0.062059146344441,0.7175
20000611A.india.NM13.BHT,-157.99742008178274,0.1411229862351437,0.72,-230.29175905280403,0.08599640746508506,0.785
20000611A.india.NM14.BHT,-160.28094210894585,0.20162441449297172,0.75,-230.25899732643109,0.13138939006108116,0.795
20000611A.india.NM15.BHT,-160.21971200712153,0.14928108735394954,0.755,-230.25702385774846,0.2742926942224109,0.8425
20000611A.india.NM16.BHT,-160.71957840006698,0.14429444174586215,0.6475,-230.9235839731141,0.09978868400202556,0.675
20000611A.india.NM17.BHT,-160.04968632757343,0.12695310699098375,0.7,-229.52894202152825,0.09312975314665642,0.6425
20000611A.india.NM19.BHT,-158.98934067297637,0.08119960378644654,0.64,-232.4891110493734,0.09872832689220476,0.61
20000611A.india.NM24.BHT,-155.89017554710702,0.28469432777217685,0.755,-228.11583073086655,0.14927468155624654,0.7975
20000611A.india.NM27.BHT,-155.29038659726325,0.08637634116486277,0.71,-227.27252023332667,0.2744903788055115,0.6075
20000611A.india.SSPA.BHT,-162.89585702987802,0.1738901442036677,0.6025,-240.2012248118914,0.13086622513919582,0.69
20000611A.india.TX31.BHT,-159.49584415370913,0.07716871728433683,0.6325,-228.97676842472626,0.08497468479631208,0.7675
20000809A.fiji.MPG.BHT,-164.30903387932858,0.1275509607584511,0.925,-236.31448428114533,0.05764758441310727,0.615
20000809A.vanuatu.DRLN.BHT,-160.5594138058137,0.12314982758287182,0.7,-225.91614892059948,0.13218101124934845,0.8075
20000928A.ecuador.MDJ.BHT,-162.2498887009007,0.1054093070433637,0.635,-230.13735358822328,0.14343020723246275,0.915
20001021A.atlantic.BJT.BHT,-162.14641031556783,0.28542721791482595,0.7475,-237.87423593184224,0.09784639563952004,0.74
20001029A.solomon.G03.BHT,-154.34734053636743,0.12939283217652472,0.6475,-222.8830781317347,0.11855053425162156,0.8275
20001220A.chile.TLG.BHT,-159.18063982753216,0.1998227407923179,0.84,-236.4007638485505,0.2690518360916073,0.695
20001220A.dentrecasteaux.LVZ.BHT,-146.99181801706447,0.20891187717684973,0.645,-216.64919935254247,0.11522995474455185,0.765
20010115A.indianridge.SCHQ.BHT,-154.88480271421102,0.08013415319087759,0.665,-243.86209908758147,0.0988785318257114,0.6475
20010213A.elsalvador.HYB.BHT,-157.84790798082568,0.1047260405706717,0.7325,-232.6196163806863,0.05516231084519207,0.7775
20010306A.macquarie.ULN.BHT,-155.12899797366111,0.2408349606021582,0.705,-217.31783324108528,0.211378022594619,0.7525
20010626A.pacific.TKM2.BHT,-159.9650629918652,0.055681129584527526,0.6875,-231.2782538850502,0.15868967609002088,0.7725
20010701A.png.ACCN.BHT,-157.78825473142587,0.0829453102156651,0.77,-224.19576936772785,0.14020136348748874,0.975
20010701A.png.LSZ.BHT,-155.7369079855344,0.11780185629100033,0.6375,-231.1781177407687,0.1263065473199448,0.6525
